order_id,customer_id,order_status,payment_method
1,4087,In Transit,Net Banking
2,4807,Delivered,UPI
3,1488,Canceled,UPI
4,1470,Delivered,Cash on Delivery
5,1516,Delivered,UPI
6,1520,In Transit,Cash on Delivery
7,378,In Transit,Cash on Delivery
8,4107,Canceled,Net Banking
9,2157,Canceled,Loyalty Points
10,1548,Delivered,Loyalty Points
11,2710,Canceled,Cash on Delivery
12,2591,Delivered,UPI
13,1272,In Transit,Loyalty Points
14,1538,Canceled,Net Banking
15,999,Delivered,Cash on Delivery
16,3315,Canceled,Net Banking
17,2207,In Transit,Loyalty Points
18,4430,Canceled,Loyalty Points
19,3296,Canceled,Loyalty Points
20,3933,Delivered,Net Banking
21,2619,Canceled,UPI
22,4137,In Transit,Loyalty Points
23,4356,Canceled,Loyalty Points
24,3742,In Transit,Loyalty Points
25,4104,Canceled,Loyalty Points
26,372,In Transit,UPI
27,4519,Canceled,Net Banking
28,2595,Delivered,Loyalty Points
29,2796,Canceled,Loyalty Points
30,1531,In Transit,Net Banking
31,1644,Delivered,UPI
32,269,Canceled,UPI
33,1342,Canceled,Net Banking
34,4046,In Transit,Loyalty Points
35,4780,In Transit,Cash on Delivery
36,44,In Transit,UPI
37,421,Delivered,UPI
38,1687,Delivered,UPI
39,3419,Canceled,UPI
40,147,Delivered,Cash on Delivery
41,164,Canceled,Loyalty Points
42,4262,Canceled,Net Banking
43,200,In Transit,Cash on Delivery
44,4740,Delivered,Cash on Delivery
45,3942,In Transit,Net Banking
46,2614,Canceled,Loyalty Points
47,3641,Delivered,Cash on Delivery
48,3946,Delivered,Cash on Delivery
49,4097,In Transit,Net Banking
50,4977,Delivered,Loyalty Points
51,3740,Delivered,UPI
52,2241,Canceled,Net Banking
53,2303,Canceled,Net Banking
54,2870,Canceled,Net Banking
55,4546,Delivered,Net Banking
56,452,In Transit,Net Banking
57,2460,Canceled,Cash on Delivery
58,2710,Delivered,UPI
59,146,Canceled,Loyalty Points
60,510,In Transit,Net Banking
61,923,In Transit,Net Banking
62,1231,Canceled,Loyalty Points
63,32,Delivered,Cash on Delivery
64,1279,Delivered,Loyalty Points
65,1523,Canceled,Net Banking
66,3582,Delivered,Net Banking
67,2360,Canceled,Net Banking
68,3552,Delivered,Net Banking
69,4063,Canceled,Net Banking
70,3241,Delivered,UPI
71,3917,Canceled,UPI
72,95,In Transit,Cash on Delivery
73,3873,Canceled,UPI
74,974,Canceled,Loyalty Points
75,4493,Canceled,Cash on Delivery
76,3390,In Transit,Net Banking
77,4529,Delivered,Net Banking
78,4781,Delivered,UPI
79,4120,Canceled,Loyalty Points
80,4745,Canceled,Loyalty Points
81,4144,In Transit,Net Banking
82,2958,Delivered,Loyalty Points
83,4042,Delivered,Net Banking
84,3721,In Transit,Cash on Delivery
85,956,Delivered,Cash on Delivery
86,4134,Canceled,UPI
87,4417,In Transit,UPI
88,3855,Delivered,Net Banking
89,3580,Canceled,Loyalty Points
90,2490,Canceled,Loyalty Points
91,4611,Canceled,Net Banking
92,22,Delivered,Loyalty Points
93,4658,In Transit,Cash on Delivery
94,491,In Transit,Cash on Delivery
95,2695,Canceled,UPI
96,1303,Canceled,Net Banking
97,2052,Canceled,Net Banking
98,2681,Delivered,Loyalty Points
99,2256,In Transit,Loyalty Points
100,4406,Canceled,Net Banking
101,4483,Canceled,Loyalty Points
102,2832,Canceled,Loyalty Points
103,3997,Canceled,Cash on Delivery
104,312,Delivered,UPI
105,1744,Delivered,Cash on Delivery
106,654,In Transit,Net Banking
107,4272,Canceled,Cash on Delivery
108,2722,In Transit,Loyalty Points
109,4172,In Transit,Net Banking
110,2856,In Transit,UPI
111,3837,In Transit,Loyalty Points
112,4686,Canceled,Loyalty Points
113,2776,Canceled,Loyalty Points
114,458,In Transit,Cash on Delivery
115,1829,Delivered,Loyalty Points
116,1539,Delivered,Cash on Delivery
117,1524,In Transit,Net Banking
118,498,Canceled,Loyalty Points
119,140,Canceled,UPI
120,4094,In Transit,Cash on Delivery
121,2833,Delivered,Loyalty Points
122,2370,Delivered,UPI
123,3559,In Transit,UPI
124,2070,Canceled,Loyalty Points
125,1101,Canceled,Loyalty Points
126,4577,Canceled,Loyalty Points
127,1621,In Transit,UPI
128,62,Canceled,Loyalty Points
129,1580,In Transit,Net Banking
130,2950,Canceled,Cash on Delivery
131,3955,Canceled,Net Banking
132,690,In Transit,Net Banking
133,2199,Canceled,UPI
134,293,Delivered,Loyalty Points
135,1154,In Transit,Cash on Delivery
136,1985,In Transit,Loyalty Points
137,985,Delivered,UPI
138,662,Delivered,Cash on Delivery
139,2876,Delivered,Net Banking
140,4421,Delivered,Loyalty Points
141,2708,In Transit,Net Banking
142,3372,Delivered,Loyalty Points
143,171,Canceled,UPI
144,788,In Transit,Loyalty Points
145,3703,In Transit,Cash on Delivery
146,651,In Transit,UPI
147,1009,Delivered,Net Banking
148,1511,Canceled,Loyalty Points
149,1803,Delivered,UPI
150,4442,Canceled,Net Banking
151,313,Delivered,Net Banking
152,849,In Transit,Loyalty Points
153,3548,In Transit,Cash on Delivery
154,966,Canceled,UPI
155,2371,In Transit,UPI
156,1483,In Transit,Net Banking
157,4682,Canceled,Net Banking
158,223,Delivered,Net Banking
159,2243,In Transit,Net Banking
160,4003,Canceled,Net Banking
161,1533,In Transit,Net Banking
162,4432,Delivered,Net Banking
163,1098,Canceled,Net Banking
164,4282,In Transit,Cash on Delivery
165,148,In Transit,Cash on Delivery
166,2155,Delivered,Loyalty Points
167,4307,Canceled,Net Banking
168,4629,Delivered,Net Banking
